id,date,start_time,away_team,home_team,sl_away_pred,sl_home_pred,gdo_away_pred,gdo_home_pred,gdo_v4_favorite,gdo_v4_confidence,away_result,home_result,moneyline_favorite_team,total_line,runline_favorite_team,runline_value,underdog_runline_odds,favorite_runline_odds,over_total_line_odds,under_total_line_odds,underdog_moneyline_odds,favorite_moneyline_odds
30989,20260121,19:00,WVU,ASU,76,71,72,70,ASU,57.6,75,63,ASU,145.5,ASU,-2.5,-110,-110,-112,-108,114,-135
30990,20260121,19:00,VT,SYR,72,79,77,76,VT,50.0,76,74,SYR,152.5,SYR,-3.5,-105,-115,-108,-112,154,-185
30991,20260121,19:00,MSST,TAMU,77,85,72,86,TAMU,94.2,68,88,TAMU,163.5,TAMU,-8.5,-115,-105,-112,-108,310,-395
30992,20260121,19:00,PEPP,GONZ,59,84,58,91,GONZ,100.0,60,84,GONZ,150.5,GONZ,-28.5,-110,-110,-110,-110,4000,-50000
30993,20260121,19:30,WSU,USD,77,75,81,75,WSU,54.5,92,96,WSU,152.5,WSU,-2.5,-118,-102,-112,-108,114,-135
30994,20260121,20:00,LOYMR,STTL,69,72,68,72,STTL,70.2,59,69,STTL,138.5,STTL,-4.5,-115,-105,-105,-115,150,-180
30995,20260121,20:00,UTU,CABP,68,77,66,74,CABP,74.3,64,73,CABP,142.5,CABP,-8.5,-108,-112,-108,-112,320,-410
30996,20260121,21:00,SDSU,GCU,73,71,69,70,GCU,53.9,69,70,GCU,143.5,GCU,-1.5,-120,100,-110,-110,-105,-115
30997,20260121,21:00,NW,USC,73,79,69,74,USC,62.1,74,68,USC,149.5,USC,-5.5,-108,-112,-108,-112,220,-270
30998,20260121,21:00,ORST,STMCA,65,79,60,75,STMCA,97.8,51,81,STMCA,141.5,STMCA,-19.5,-110,-110,-115,-105,1600,-4000
30999,20260122,10:00,ULM,MRSH,67,86,65,90,MRSH,99.7,60,115,MRSH,158.5,MRSH,-17.5,-110,-110,-108,-112,1000,-1800
31000,20260122,10:00,LA,APP,60,72,63,69,APP,84.9,58,72,APP,123.5,APP,-9.5,-112,-108,-105,-115,380,-500
31001,20260122,11:00,STET,LIPS,69,87,71,82,LIPS,87.4,74,79,LIPS,157.5,LIPS,-15.5,-110,-110,-115,-105,950,-1650
31002,20260122,11:00,FGCU,PEAY,76,78,70,77,PEAY,79.0,62,83,PEAY,155.5,PEAY,-5.5,-108,-112,-108,-112,195,-238
31003,20260122,15:30,UCA,WEGA,75,76,77,74,UCA,76.5,86,65,UCA,153.5,UCA,-3.5,-112,-108,-110,-110,136,-162
31004,20260122,16:00,BING,UNH,64,74,62,74,UNH,81.1,82,88,UNH,136.5,UNH,-9.5,-108,-112,-108,-112,410,-550
31005,20260122,16:00,NJIT,UMBC,66,81,69,76,UMBC,74.3,74,87,UMBC,143.5,UMBC,-7.5,-115,-105,-105,-115,240,-298
31006,20260122,16:00,VRMT,UMLW,76,70,72,68,VRMT,77.6,77,68,VRMT,145.5,VRMT,-4.5,-108,-112,-110,-110,170,-205
31007,20260122,16:00,ALBNY,MNE,67,70,66,67,MNE,64.1,49,52,ALBNY,131.5,ALBNY,-3.5,-112,-108,-110,-110,145,-175
31008,20260122,16:30,UWGB,YSU,71,81,71,76,YSU,63.8,81,88,YSU,139.5,YSU,-7.5,-110,-110,-110,-110,260,-325
31009,20260122,17:00,TOWS,ELON,68,77,74,72,TOWS,68.2,72,59,ELON,146.5,ELON,-2.5,-105,-102,-105,-115,114,-135
31010,20260122,17:00,HOF,NCAT,73,70,75,72,HOF,63.4,78,79,HOF,146.5,HOF,-9.5,-110,-110,-112,-108,380,-500
31011,20260122,17:00,USA,JMU,71,76,73,72,USA,53.8,90,83,JMU,138.5,JMU,-4.5,-110,-110,-105,-115,160,-192
31012,20260122,17:00,USM,GAST,71,73,66,76,GAST,75.9,62,69,GAST,145.5,GAST,-2.5,-115,-105,-105,-115,114,-135
31013,20260122,17:00,ARST,GASO,81,82,82,77,ARST,84.6,85,68,ARST,173.5,ARST,-1.5,-115,-105,-115,-105,-102,-118
